timestamp,open,high,low,close
2018-12-22,1.1415,1.1421,1.1354,1.1367
2018-12-21,1.1449,1.1474,1.1354,1.1367
2018-12-20,1.1380,1.1486,1.1375,1.1448
2018-12-19,1.1370,1.1439,1.1364,1.1380
2018-12-18,1.1347,1.1402,1.1335,1.1370
2018-12-17,1.1305,1.1358,1.1302,1.1347
2018-12-16,1.1303,1.1308,1.1297,1.1305
2018-12-14,1.1357,1.1365,1.1268,1.1307
2018-12-13,1.1372,1.1393,1.1330,1.1357
2018-12-12,1.1319,1.1387,1.1314,1.1371
2018-12-11,1.1350,1.1400,1.1305,1.1319
2018-12-10,1.1398,1.1443,1.1348,1.1350
2018-12-09,1.1395,1.1402,1.1380,1.1398
2018-12-07,1.1377,1.1424,1.1359,1.1389
2018-12-06,1.1348,1.1413,1.1320,1.1377
2018-12-05,1.1340,1.1361,1.1310,1.1347
2018-12-04,1.1354,1.1419,1.1317,1.1341
2018-12-03,1.1332,1.1380,1.1318,1.1354
2018-12-02,1.1346,1.1367,1.1330,1.1332
2018-11-30,1.1388,1.1401,1.1304,1.1319
2018-11-29,1.1368,1.1402,1.1347,1.1388
2018-11-28,1.1294,1.1387,1.1265,1.1368
2018-11-27,1.1330,1.1344,1.1276,1.1294
2018-11-26,1.1336,1.1384,1.1322,1.1330
2018-11-25,1.1341,1.1348,1.1331,1.1334
2018-11-23,1.1403,1.1421,1.1326,1.1337
2018-11-22,1.1384,1.1434,1.1382,1.1403
2018-11-21,1.1366,1.1425,1.1363,1.1384
2018-11-20,1.1453,1.1472,1.1356,1.1367
2018-11-19,1.1416,1.1465,1.1393,1.1452
2018-11-18,1.1408,1.1420,1.1397,1.1416
2018-11-16,1.1323,1.1420,1.1318,1.1418
2018-11-15,1.1314,1.1362,1.1270,1.1323
2018-11-14,1.1299,1.1348,1.1262,1.1313
2018-11-13,1.1220,1.1300,1.1218,1.1299
2018-11-12,1.1317,1.1331,1.1214,1.1219
2018-11-11,1.1332,1.1332,1.1310,1.1317
2018-11-09,1.1364,1.1369,1.1315,1.1333
2018-11-08,1.1430,1.1447,1.1350,1.1364
2018-11-07,1.1419,1.1500,1.1393,1.1430
2018-11-06,1.1408,1.1438,1.1390,1.1419
2018-11-05,1.1391,1.1424,1.1353,1.1408
2018-11-04,1.1395,1.1407,1.1385,1.1391
2018-11-02,1.1404,1.1456,1.1371,1.1387
2018-11-01,1.1317,1.1424,1.1311,1.1404
2018-10-31,1.1343,1.1360,1.1300,1.1317
2018-10-30,1.1373,1.1388,1.1337,1.1343
2018-10-29,1.1404,1.1416,1.1359,1.1373
2018-10-28,1.1406,1.1409,1.1385,1.1403
2018-10-26,1.1374,1.1421,1.1334,1.1400
2018-10-25,1.1399,1.1433,1.1355,1.1374
2018-10-24,1.1469,1.1477,1.1378,1.1399
2018-10-23,1.1466,1.1494,1.1438,1.1469
2018-10-22,1.1512,1.1550,1.1454,1.1465
2018-10-21,1.1510,1.1518,1.1507,1.1511
2018-10-19,1.1456,1.1535,1.1432,1.1513
2018-10-18,1.1498,1.1527,1.1448,1.1455
2018-10-17,1.1574,1.1580,1.1495,1.1497
2018-10-16,1.1584,1.1622,1.1563,1.1574
2018-10-15,1.1551,1.1606,1.1541,1.1584
2018-10-14,1.1559,1.1563,1.1534,1.1551
2018-10-12,1.1592,1.1610,1.1533,1.1559
2018-10-11,1.1535,1.1599,1.1527,1.1592
2018-10-10,1.1495,1.1545,1.1477,1.1536
2018-10-09,1.1493,1.1503,1.1429,1.1495
2018-10-08,1.1525,1.1530,1.1458,1.1492
2018-10-07,1.1516,1.1533,1.1516,1.1525
2018-10-05,1.1516,1.1550,1.1483,1.1523
2018-10-04,1.1484,1.1543,1.1462,1.1516
2018-10-03,1.1551,1.1594,1.1463,1.1484
2018-10-02,1.1576,1.1580,1.1504,1.1550
2018-10-01,1.1605,1.1625,1.1562,1.1575
2018-09-30,1.1607,1.1627,1.1601,1.1604
2018-09-28,1.1634,1.1651,1.1569,1.1600
2018-09-27,1.1749,1.1757,1.1632,1.1635
2018-09-26,1.1766,1.1798,1.1725,1.1749
2018-09-25,1.1749,1.1792,1.1730,1.1766
2018-09-24,1.1746,1.1815,1.1722,1.1750
2018-09-23,1.1749,1.1752,1.1737,1.1746
2018-09-21,1.1779,1.1803,1.1731,1.1747
2018-09-20,1.1671,1.1784,1.1668,1.1779
2018-09-19,1.1679,1.1715,1.1649,1.1671
2018-09-18,1.1671,1.1724,1.1651,1.1679
2018-09-17,1.1625,1.1698,1.1617,1.1670
2018-09-16,1.1620,1.1632,1.1616,1.1625
2018-09-14,1.1690,1.1722,1.1619,1.1625
2018-09-13,1.1628,1.1701,1.1607,1.1690
2018-09-12,1.1602,1.1650,1.1568,1.1627
2018-09-11,1.1594,1.1644,1.1564,1.1602
2018-09-10,1.1555,1.1616,1.1525,1.1594
2018-09-09,1.1549,1.1560,1.1546,1.1555
2018-09-07,1.1624,1.1649,1.1549,1.1552
2018-09-06,1.1632,1.1659,1.1604,1.1624
2018-09-05,1.1583,1.1640,1.1542,1.1632
2018-09-04,1.1617,1.1618,1.1529,1.1583
2018-09-03,1.1597,1.1628,1.1588,1.1617
2018-09-02,1.1595,1.1608,1.1587,1.1597
2018-08-31,1.1663,1.1690,1.1583,1.1599
2018-08-30,1.1706,1.1718,1.1639,1.1663
2018-08-29,1.1695,1.1710,1.1651,1.1706
2018-08-28,1.1681,1.1733,1.1661,1.1693
